	tissue_id
GTEX-13N11-2626-SM-5K7UQ	Adipose_Subcutaneous
GTEX-13N1W-0226-SM-5K7W6	Adipose_Subcutaneous
GTEX-13N2G-2726-SM-5J1MG	Adipose_Subcutaneous
GTEX-13NYB-2626-SM-9YFMI	Adipose_Subcutaneous
GTEX-13NYS-0226-SM-5MR49	Adipose_Subcutaneous
GTEX-13NZ8-0926-SM-5MR3U	Adipose_Subcutaneous
GTEX-13NZ9-0526-SM-5J1OX	Adipose_Subcutaneous
GTEX-13NZA-0126-SM-5K7UH	Adipose_Subcutaneous
GTEX-13NZB-2426-SM-5K7UF	Adipose_Subcutaneous
GTEX-13O1R-0226-SM-5K7U5	Adipose_Subcutaneous
GTEX-13O21-1526-SM-5K7W4	Adipose_Subcutaneous
GTEX-13O3P-0226-SM-5KM3Z	Adipose_Subcutaneous
GTEX-13O3Q-2326-SM-5KM3G	Adipose_Subcutaneous
GTEX-13O61-2426-SM-5J1NV	Adipose_Subcutaneous
GTEX-13OVI-1326-SM-5IJBO	Adipose_Subcutaneous
GTEX-13OVJ-0326-SM-5L3GL	Adipose_Subcutaneous
GTEX-13OVK-2126-SM-6PAN1	Adipose_Subcutaneous
GTEX-13OVL-0326-SM-5IJCS	Adipose_Subcutaneous
GTEX-13OW6-0526-SM-5L3HY	Adipose_Subcutaneous
GTEX-13OW7-0226-SM-5MR3N	Adipose_Subcutaneous
GTEX-13OW8-1226-SM-5K7XD	Adipose_Subcutaneous
GTEX-13PDP-0226-SM-5K7W9	Adipose_Subcutaneous
GTEX-13PLJ-0126-SM-5L3HU	Adipose_Subcutaneous
GTEX-13PVQ-0226-SM-5SIBG	Adipose_Subcutaneous
GTEX-13PVR-2426-SM-5RQHN	Adipose_Subcutaneous
GTEX-13QBU-2526-SM-5LU4X	Adipose_Subcutaneous
GTEX-13QJ3-0426-SM-5RQHP	Adipose_Subcutaneous
GTEX-13RTJ-2526-SM-5S2Q3	Adipose_Subcutaneous
GTEX-13S7M-0226-SM-5S2UG	Adipose_Subcutaneous
